enabled	model	protocol	resolution	predictions	output_dir	truth_lock	notes
1	AnchorSlot	full_annotated	4nm	/projects/weilab/liupeng/runs/Anchorslot/structured_conditional_er_dynamic_from_scratch_init_lr0.001/predict_imagesTs_best_gall_original/20260525/predictions	/projects/weilab/liupeng/runs/Anchorslot/evaluation_matrix/anchorslot_primary/full_annotated/4nm	/projects/weilab/liupeng/runs/Anchorslot/evaluation_protocol/high_4nm/truth_lock.json	Primary AnchorSlot checkpoint; held-out Dataset200 imagesTs
1	AnchorSlot	common_parent_instance	4nm	/projects/weilab/liupeng/runs/Anchorslot/structured_conditional_er_dynamic_from_scratch_init_lr0.001/predict_imagesTs_best_gall_original/20260525/predictions	/projects/weilab/liupeng/runs/Anchorslot/evaluation_matrix/anchorslot_primary/common_parent_instance/4nm	/projects/weilab/liupeng/runs/Anchorslot/evaluation_protocol/common_parent_instance_high_4nm/truth_lock.json	Matched nuc/mito/perox instance protocol
1	AnchorSlot-MedNeXt-B	full_annotated	4nm	/projects/weilab/liupeng/runs/Anchorslot/structured_conditional_er_dynamic_mednext_b_from_scratch_init_lr0.001/predict_imagesTs_best_gall_original/20260611/predictions	/projects/weilab/liupeng/runs/Anchorslot/evaluation_matrix/anchorslot_mednext_b/full_annotated/4nm	/projects/weilab/liupeng/runs/Anchorslot/evaluation_protocol/high_4nm/truth_lock.json	Native-ID correction baseline
1	AnchorSlot-MedNeXt-B	common_parent_instance	4nm	/projects/weilab/liupeng/runs/Anchorslot/structured_conditional_er_dynamic_mednext_b_from_scratch_init_lr0.001/predict_imagesTs_best_gall_original/20260611/predictions	/projects/weilab/liupeng/runs/Anchorslot/evaluation_matrix/anchorslot_mednext_b/common_parent_instance/4nm	/projects/weilab/liupeng/runs/Anchorslot/evaluation_protocol/common_parent_instance_high_4nm/truth_lock.json	Matched nuc/mito/perox instance protocol
1	Flat-MedNeXt-B	full_annotated	4nm	/projects/weilab/liupeng/runs/Anchorslot/mednext_32out_no_cond_b_from_scratch_init_lr0.001_2gpu_bs2/predict_imagesTs_best/20260601/predictions	/projects/weilab/liupeng/runs/Anchorslot/evaluation_matrix/flat_mednext_b/full_annotated/4nm	/projects/weilab/liupeng/runs/Anchorslot/evaluation_protocol/high_4nm/truth_lock.json	Backbone-matched flat baseline
1	Flat-MedNeXt-B	common_parent_instance	4nm	/projects/weilab/liupeng/runs/Anchorslot/mednext_32out_no_cond_b_from_scratch_init_lr0.001_2gpu_bs2/predict_imagesTs_best/20260601/predictions	/projects/weilab/liupeng/runs/Anchorslot/evaluation_matrix/flat_mednext_b/common_parent_instance/4nm	/projects/weilab/liupeng/runs/Anchorslot/evaluation_protocol/common_parent_instance_high_4nm/truth_lock.json	Matched nuc/mito/perox instance protocol
1	Flat-nnUNet-ClassBalanced	full_annotated	4nm	/projects/weilab/liupeng/runs/Anchorslot/flat31_class_balanced_sqrt_ce_init_lr0.001_stable/predict_imagesTs_best/20260619/predictions	/projects/weilab/liupeng/runs/Anchorslot/evaluation_matrix/flat_nnunet_class_balanced/full_annotated/4nm	/projects/weilab/liupeng/runs/Anchorslot/evaluation_protocol/high_4nm/truth_lock.json	Class-balanced flat baseline
1	Flat-nnUNet-ClassBalanced	common_parent_instance	4nm	/projects/weilab/liupeng/runs/Anchorslot/flat31_class_balanced_sqrt_ce_init_lr0.001_stable/predict_imagesTs_best/20260619/predictions	/projects/weilab/liupeng/runs/Anchorslot/evaluation_matrix/flat_nnunet_class_balanced/common_parent_instance/4nm	/projects/weilab/liupeng/runs/Anchorslot/evaluation_protocol/common_parent_instance_high_4nm/truth_lock.json	Matched nuc/mito/perox instance protocol
1	Flat-nnUNet-LowRes	full_annotated	32nm	/projects/weilab/liupeng/data/nnUNet/nnUNet_raw/Dataset201_Dataset101_CellMap_model_low_res/imagesTs_pred_by_201_3d_fullres	/projects/weilab/liupeng/runs/Anchorslot/evaluation_matrix/flat_nnunet_lowres/full_annotated/32nm	/projects/weilab/liupeng/runs/Anchorslot/evaluation_protocol/low_32nm/truth_lock.json	Dataset201 fold-all 3d_fullres baseline
1	Flat-nnUNet-LowRes	common_parent_instance	32nm	/projects/weilab/liupeng/data/nnUNet/nnUNet_raw/Dataset201_Dataset101_CellMap_model_low_res/imagesTs_pred_by_201_3d_fullres	/projects/weilab/liupeng/runs/Anchorslot/evaluation_matrix/flat_nnunet_lowres/full_annotated/32nm	/projects/weilab/liupeng/runs/Anchorslot/evaluation_protocol/low_32nm/truth_lock.json	Low full annotated equals common parent-instance protocol
